##ana of NCBI 16S Microbial Blast Database
##use NCBI Taxonomy Database as a reference
##gi number 2 taxid
##auther: Ke Zhang
##data: 20180725
#gi	taxid
444304156	1041826
219878315	167643
631251222	1946
636560529	568099
631251141	68238
631251100	1887
631252620	33961
343202402	494024
636560236	506480
631252949	299255
645322536	136492
645319556	637886
602753070	1234143
636560225	1625
636558775	67350
444303911	224325
645321617	1423144
219878158	82375
343201063	574
631252059	53345
219846524	34014
586661655	433649
343198701	709015
545589067	1693
645321855	1537
219846419	46224
343202730	695939
636560781	1353532
566084957	887456
636559709	375574
507148031	634176
631252238	36738
636560649	587633
631253129	1151742
343205935	481520
219857514	129847
631252359	1076330
636559170	313596
645321728	869889
645320040	189540
219846725	53413
343206218	58351
645321296	202750
645322515	29376
219857335	87012
343201761	368811
631252983	119864
343205648	406020
343200211	87645
219846595	1665
645322430	1725
559795256	47834
559795278	39651
636560438	1238190
219846708	46357
343198985	1091494
631251029	29369
343200898	431677
636559358	68196
254971244	253107
265678873	243231
219846920	428
659365285	169679
219878124	213248
343200300	248026
343205879	454601
636558613	202862
659365165	42256
310975158	2055
343202581	587851
343198713	1193518
343201767	370959
631251720	644768
631251507	76860
219856820	1108045
636559818	585
343205812	433924
645321987	1993
631250878	76760
343200347	116849
631251882	36874
636560387	545121
636560479	1155739
631252113	977983
343200291	234613
343200751	373891
645320766	663
310975102	1880
219846488	1787
310975183	28229
645321638	1434068
343198862	386911
265678744	287986
645319828	1401
631252091	1293598
219857415	92442
645320073	1122924
636560222	642227
631252944	964
343206092	13276
507148141	1003195
636560820	648794
343202442	2264
507148139	754252
343202410	519440
219846624	43768
343198595	278994
219878184	144023
636559499	35756
507147971	568703
636560180	492670
343206041	569860
636559918	1687
219878449	219574
645320208	1073330
219878233	157839
343201758	76747
645319868	1166018
645321730	57975
631252693	110322
645322355	38310
636559287	346045
631252301	148448
659365266	863
566084940	754436
636559266	299421
343200939	762968
631252642	46429
636558796	1339
310975066	34073
699005302	720633
343202660	1193011
645322457	41675
343202629	279215
444304116	1396
343200995	512643
310975154	905
645321213	1282664
645319877	1041522
636560668	80877
645320576	57706
219878475	260553
636558444	99653
265678420	81037
645321124	104099
265678530	176898
265678685	194326
343201578	67352
343200938	454153
636559134	141679
631252789	217090
645321345	1158459
343201155	134962
645320862	797114
444303940	331678
631253044	426703
265678402	85688
343198781	352869
343206289	301388
631251579	504468
631251336	1223521
444439386	119072
659365218	169679
444439424	351746
636559687	797209
219846313	1379
631253219	62153
343205684	413503
566085200	797419
219846512	1121303
636560834	329406
219856839	65151
566085148	1137993
645321386	2337
343202689	288019
631250812	614
645322365	1721
631251160	1922
343200824	1305865
699005304	1003997
228715722	103855
265678453	110935
545589078	1601
343201037	305698
507148066	28199
559795309	110578
343202892	33075
636558511	128802
228715350	502025
265678967	37625
631250976	1505
566085461	1182444
636559592	53372
343204256	370038
636559098	215200
343206178	38815
444304201	742013
343201687	587
343206307	421629
645320670	298
310975248	137545
636559964	449974
219857131	126569
444304109	903814
636559886	413815
636559021	45
566085075	706427
343200735	329524
219846222	265426
265678839	1560
343201780	525257
631251369	363862
444439736	1596
636559790	393030
343198889	41
343200668	360412
645321706	43772
631251811	685828
219857520	1123231
699005338	1231134
343206294	47855
343201747	354352
645322542	67574
631252756	306540
645319916	208602
631250987	185243
343200519	67297
343202749	314202
265678746	191391
343200378	66895
265679024	56464
343200548	288965
645321510	1223317
645320787	912594
645320079	672157
219846703	56428
343200977	487172
645321996	549701
444439692	225194
636560512	564415
343198942	416012
631252982	232216
636559092	204890
645319765	1543
631252150	29388
343201367	2749
343205620	396389
645321126	940265
265678483	160434
343200311	1231357
219857417	46223
645320445	1203393
631251536	46162
631252371	1099794
636559015	474951
645321282	97398
219846678	47847
444439503	67854
343201395	104609
636560010	465797
558508567	665038
699005337	1155475
265678533	184755
631251481	442866
219846550	76935
343201392	2057
343205571	392593
645322485	1247
219857406	97478
636560410	548579
566085601	1227077
219846547	79885
645321244	663
343200685	363850
265678720	254785
645321304	1334
631251353	90970
343201697	1041522
631252429	1472
254971232	88724
219878427	208223
631251184	1972
659364706	55583
645321903	328552
444439560	391008
631251202	68194
343205785	457427
310975075	104
631251896	305719
636560824	257003
343201028	96563
631251591	536633
631251623	558529
645320838	755309
343205963	496857
343200414	67302
219857474	114880
636560059	455344
645320212	701523
343203005	583356
219878456	225985
343200786	392014
631250856	76124
631250887	58350
219856905	90323
219856857	75385
343201479	248451
636560055	470934
645320551	1406
636560324	83383
219846517	694431
566085513	1150371
631250859	1482
645319570	643671
559795368	1264899
219857152	161358
265678385	57706
219846384	28097
219846817	58134
343200748	1954
645321994	50058
219846317	1122973
219846537	29498
636559880	411357
343198603	29419
219846064	166934
343202843	116188
636558625	70318
219857166	191770
310975210	171439
631250756	1083
343198718	333138
636559342	67345
219878317	153233
631253072	241244
631252900	194196
631252997	29435
566085070	698647
265678749	53953
631253120	1137799
559795096	1168289
631252014	268735
636560757	648754
